date,timestamp,ticker,price,gamma_oi,gamma_vol,gamma_dir,charm_oi,charm_vol,charm_dir,vanna_oi,vanna_vol,vanna_dir
2026-04-13T05:00:00.000Z,2026-04-13T18:15:00.000Z,SPX,6850.00,71766563055.4500,505107452110.4600,98155533226.8800,-28027467882718.8400,-105225486065628.6000,4337830613238.1300,200620401.1562,804145246.2233,192851.4058
2026-04-13T05:00:00.000Z,2026-04-13T18:20:00.000Z,SPX,6850.00,43536577335.2300,517190019948.7900,99652233410.8900,-30061089487319.2900,-112961329471528.2000,4330315990445.3300,1153860158.9260,878991296.5167,22494771.6236
2026-04-13T05:00:00.000Z,2026-04-13T18:25:00.000Z,SPX,6845.00,48623609180.7600,500534604272.2600,97918379285.0600,-32047519027956.2500,-129076149744939.5000,1843113204606.6000,530506440.3172,992672716.8057,51123194.5345
2026-04-13T05:00:00.000Z,2026-04-13T18:30:00.000Z,SPX,6845.00,43797643572.4800,523466062485.9200,101916568592.5400,-33212180074181.0300,-140658707186659.2000,1694987362095.7600,1208944855.3761,1090007902.8874,60725451.1883
2026-04-13T05:00:00.000Z,2026-04-13T18:35:00.000Z,SPX,6850.00,42154833300.4200,547129730879.7100,104709183651.3200,-34517177298416.1100,-140332782198848.2000,5394775720008.7300,1247352321.7225,932147204.1164,29210010.0521
2026-04-13T05:00:00.000Z,2026-04-13T18:40:00.000Z,SPX,6850.00,50666665398.7100,561147584183.6100,109646894307.6800,-35611214786523.7600,-150191894219542.4000,5705263032435.5700,671483430.6055,904865736.2207,28632442.2618
2026-04-13T05:00:00.000Z,2026-04-13T18:45:00.000Z,SPX,6855.00,62227155296.2500,592715298182.1600,116820490401.5000,-36590131866972.7300,-149692434614714.7000,10424783168729.1300,631635634.3892,770565066.7588,-12403067.0150
2026-04-13T05:00:00.000Z,2026-04-13T18:50:00.000Z,SPX,6855.00,32748279320.8000,609231617605.0800,125961041978.3700,-37813408483116.1600,-159050520774675.8000,10595687199405.0300,1113848344.0702,792815272.4449,13121598.8653
2026-04-13T05:00:00.000Z,2026-04-13T18:55:00.000Z,SPX,6855.00,42029907650.3600,637568838699.6300,127279399429.1000,-41028631459982.7600,-178359278758169.6000,11109044015326.1100,1215959880.8666,834175783.0411,9971570.3272
2026-04-13T05:00:00.000Z,2026-04-13T19:00:00.000Z,SPX,6855.00,54727019860.2700,655494509391.4700,132152009060.3100,-42824468123896.7800,-174935219020852.2000,17516534718373.7200,560219241.8066,614189399.0996,-28592988.5717
2026-04-13T05:00:00.000Z,2026-04-13T19:05:00.000Z,SPX,6855.00,64867717827.9100,666336079005.4200,131384778627.2700,-46179011496860.6000,-219357325952829.5000,12310791939046.0200,635055251.6351,863574505.6596,17799491.6671
