bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,SPXW,call,mixed,0.3-0.5%,$500k-2.5M,75,21.333333333333336,76.0,18.760269165039062,17.73517608642578,1.5491604804992676
5,SPXW,call,mixed,0.5-1%,$1-5k,169,0.591715976331361,101.0,12.553406715393066,8.790145874023438,7.694669246673584
5,SPXW,call,mixed,0.5-1%,$100-500k,61,3.278688524590164,107.5,24.629776000976562,9.876140594482422,12.029793739318848
5,SPXW,call,mixed,0.5-1%,$25-100k,104,0.0,,17.1834077835083,15.09221363067627,2.003694772720337
5,SPXW,call,mixed,0.5-1%,$5-25k,170,0.5882352941176471,91.0,15.883432388305664,13.679786682128906,6.4349524974823
5,SPXW,call,mixed,0.5-1%,$500k-2.5M,10,10.0,58.0,37.70200729370117,11.787615299224854,29.29299831390381
5,SPXW,call,mixed,1-1.5%,$1-5k,158,0.0,,19.75082015991211,10.95387315750122,7.954028367996216
5,SPXW,call,mixed,1-1.5%,$25-100k,10,0.0,,42.114253997802734,4.13366961479187,33.13577079772949
5,SPXW,call,mixed,1-1.5%,$5-25k,62,0.0,,25.9051513671875,9.313450336456299,13.828021049499512
5,SPXW,call,mixed,1.5-2%,$1-5k,95,0.0,,24.988252639770508,9.72520637512207,13.511570930480957
5,SPXW,call,mixed,1.5-2%,$5-25k,10,0.0,,26.08911418914795,15.04326581954956,8.920287609100342
5,SPXW,call,mixed,2-3%,$1-5k,43,0.0,,31.203296661376953,9.555010795593262,23.25495719909668
